#FamilyID	pvalue	Significant at 0.05
N0.HOG0000005	0.008	y
N0.HOG0000006	0	y
N0.HOG0000008	0	y
N0.HOG0000009	0	y
N0.HOG0000010	0.426	n
N0.HOG0000011	0.989	n
N0.HOG0000014	0	y
N0.HOG0000016	0	y
N0.HOG0000017	0	y
N0.HOG0000019	0.974	n
N0.HOG0000020	0	y
N0.HOG0000021	0.246	n
N0.HOG0000022	0.645	n
N0.HOG0000023	0	y
N0.HOG0000027	0.576	n
N0.HOG0000028	0.663	n
N0.HOG0000029	0.837	n
N0.HOG0000030	0.645	n
N0.HOG0000031	0.604	n
N0.HOG0000033	0.058	n
N0.HOG0000035	0	y
N0.HOG0000037	0	y
N0.HOG0000041	0	y
N0.HOG0000045	0	y
N0.HOG0000047	0	y
N0.HOG0000049	0	y
N0.HOG0000052	0	y
N0.HOG0000058	0.999	n
N0.HOG0000059	0.646	n
N0.HOG0000060	0.784	n
N0.HOG0000061	0	y
N0.HOG0000063	0.697	n
N0.HOG0000064	0	y
N0.HOG0000066	0.862	n
N0.HOG0000067	0.999	n
N0.HOG0000068	0.976	n
N0.HOG0000069	0	y
N0.HOG0000072	0.224	n
N0.HOG0000073	0	y
N0.HOG0000074	0.202	n
N0.HOG0000076	0.729	n
N0.HOG0000077	0.966	n
N0.HOG0000079	0	y
N0.HOG0000080	0.658	n
N0.HOG0000082	0.326	n
N0.HOG0000083	0.402	n
N0.HOG0000084	0.837	n
N0.HOG0000085	0.369	n
N0.HOG0000086	0.708	n
N0.HOG0000087	0.575	n
N0.HOG0000088	0.694	n
N0.HOG0000089	0.197	n
N0.HOG0000091	0.006	y
N0.HOG0000092	0	y
N0.HOG0000093	0	y
N0.HOG0000094	0.818	n
N0.HOG0000095	0	y
N0.HOG0000096	0.716	n
N0.HOG0000101	0	y
N0.HOG0000104	0.349	n
N0.HOG0000106	0.003	y
N0.HOG0000107	0.519	n
N0.HOG0000108	0.349	n
N0.HOG0000109	0.204	n
N0.HOG0000110	0.356	n
N0.HOG0000112	0.591	n
N0.HOG0000113	0.659	n
N0.HOG0000114	0.32	n
N0.HOG0000115	0.003	y
N0.HOG0000116	0.472	n
N0.HOG0000117	0.472	n
N0.HOG0000119	0	y
N0.HOG0000126	0	y
N0.HOG0000127	0	y
N0.HOG0000128	0	y
N0.HOG0000129	0.713	n
N0.HOG0000132	0.089	n
N0.HOG0000133	0.471	n
N0.HOG0000134	0.999	n
N0.HOG0000136	0.325	n
N0.HOG0000137	0.61	n
N0.HOG0000138	0.866	n
N0.HOG0000139	0	y
N0.HOG0000140	0.259	n
N0.HOG0000141	0.562	n
N0.HOG0000142	0.853	n
N0.HOG0000143	0.589	n
N0.HOG0000148	0	y
N0.HOG0000153	0.309	n
N0.HOG0000154	0.567	n
N0.HOG0000155	0	y
N0.HOG0000156	0.567	n
N0.HOG0000160	0	y
N0.HOG0000161	0.959	n
N0.HOG0000162	0	y
N0.HOG0000168	0	y
N0.HOG0000170	0	y
N0.HOG0000175	0.002	y
N0.HOG0000181	0	y
N0.HOG0000188	0	y
N0.HOG0000189	0	y
N0.HOG0000195	0	y
N0.HOG0000196	0.632	n
N0.HOG0000197	0.207	n
N0.HOG0000198	0.887	n
N0.HOG0000204	0.904	n
N0.HOG0000205	0.124	n
N0.HOG0000206	0.005	y
N0.HOG0000207	0.63	n
N0.HOG0000208	0.792	n
N0.HOG0000209	0.7	n
N0.HOG0000210	0.994	n
N0.HOG0000217	0.072	n
N0.HOG0000218	0.799	n
N0.HOG0000219	0.472	n
N0.HOG0000220	0.707	n
N0.HOG0000221	0.563	n
N0.HOG0000222	0.472	n
N0.HOG0000224	0	y
N0.HOG0000225	0.563	n
N0.HOG0000226	0.707	n
N0.HOG0000227	0.959	n
N0.HOG0000228	0.707	n
N0.HOG0000229	0.563	n
N0.HOG0000230	0.563	n
N0.HOG0000232	0.563	n
N0.HOG0000234	0.589	n
N0.HOG0000236	0	y
N0.HOG0000237	0	y
N0.HOG0000238	0.925	n
N0.HOG0000239	0.883	n
N0.HOG0000240	0.807	n
N0.HOG0000245	0.869	n
N0.HOG0000246	0.68	n
N0.HOG0000247	0.999	n
N0.HOG0000248	0.018	y
N0.HOG0000249	0.001	y
N0.HOG0000250	0	y
N0.HOG0000253	0	y
N0.HOG0000254	0	y
N0.HOG0000256	0	y
N0.HOG0000259	0.54	n
N0.HOG0000260	0	y
N0.HOG0000261	0	y
N0.HOG0000267	0	y
N0.HOG0000272	0.676	n
N0.HOG0000273	0.837	n
N0.HOG0000274	0.002	y
N0.HOG0000281	0.001	y
N0.HOG0000282	0	y
N0.HOG0000285	0	y
N0.HOG0000291	0.994	n
N0.HOG0000292	0.99	n
N0.HOG0000293	0.585	n
N0.HOG0000294	0.999	n
N0.HOG0000295	0.974	n
N0.HOG0000297	0.63	n
N0.HOG0000298	0	y
N0.HOG0000299	0.08	n
N0.HOG0000300	0	y
N0.HOG0000302	0.273	n
N0.HOG0000304	0.848	n
N0.HOG0000305	0.701	n
N0.HOG0000306	0.426	n
N0.HOG0000307	0	y
N0.HOG0000313	0.642	n
N0.HOG0000315	0.536	n
N0.HOG0000317	0.001	y
N0.HOG0000318	0.852	n
N0.HOG0000319	0.769	n
N0.HOG0000322	0.86	n
N0.HOG0000323	0.349	n
N0.HOG0000325	0.07	n
N0.HOG0000326	0.818	n
N0.HOG0000327	0.671	n
N0.HOG0000328	0.95	n
N0.HOG0000329	0.743	n
N0.HOG0000331	0.662	n
N0.HOG0000332	0.66	n
N0.HOG0000338	0.836	n
N0.HOG0000341	0.872	n
N0.HOG0000342	0.807	n
N0.HOG0000345	0	y
N0.HOG0000347	0.344	n
N0.HOG0000348	0.055	n
N0.HOG0000349	0.748	n
N0.HOG0000350	0	y
N0.HOG0000352	0.809	n
N0.HOG0000353	0.997	n
N0.HOG0000354	0.33	n
N0.HOG0000355	0.001	y
N0.HOG0000356	0	y
N0.HOG0000359	0	y
N0.HOG0000361	0.129	n
N0.HOG0000363	0	y
N0.HOG0000374	0.806	n
N0.HOG0000375	0.64	n
N0.HOG0000377	0.837	n
N0.HOG0000378	0.383	n
N0.HOG0000381	0.018	y
N0.HOG0000382	0.387	n
N0.HOG0000383	0	y
N0.HOG0000385	0.842	n
N0.HOG0000386	0.646	n
N0.HOG0000387	0.862	n
N0.HOG0000388	0.826	n
N0.HOG0000389	0.894	n
N0.HOG0000390	0.729	n
N0.HOG0000391	0	y
