#FamilyID	pvalue	Significant at 0.05
N0.HOG0000004	0.248	n
N0.HOG0000005	0.438	n
N0.HOG0000008	0	y
N0.HOG0000012	0	y
N0.HOG0000013	0.146	n
N0.HOG0000015	0.003	y
N0.HOG0000016	0.007	y
N0.HOG0000017	0	y
N0.HOG0000018	0.53	n
N0.HOG0000019	0.309	n
N0.HOG0000020	0	y
N0.HOG0000023	0	y
N0.HOG0000024	0	y
N0.HOG0000027	0	y
N0.HOG0000029	0.188	n
N0.HOG0000030	0	y
N0.HOG0000031	0.171	n
N0.HOG0000033	0	y
N0.HOG0000036	0.438	n
N0.HOG0000037	0	y
N0.HOG0000038	0	y
N0.HOG0000039	0.012	y
N0.HOG0000040	0.336	n
N0.HOG0000041	0.541	n
N0.HOG0000042	0.339	n
N0.HOG0000044	0.049	y
N0.HOG0000045	0	y
N0.HOG0000049	0	y
N0.HOG0000050	0	y
N0.HOG0000053	0	y
N0.HOG0000054	0	y
N0.HOG0000056	0	y
N0.HOG0000059	0	y
N0.HOG0000061	0.161	n
N0.HOG0000066	0.282	n
N0.HOG0000067	0	y
N0.HOG0000068	0	y
N0.HOG0000069	0	y
N0.HOG0000071	0	y
N0.HOG0000072	0	y
N0.HOG0000073	0	y
N0.HOG0000075	0	y
N0.HOG0000078	0	y
N0.HOG0000079	0.193	n
N0.HOG0000082	0.047	y
N0.HOG0000083	0.259	n
N0.HOG0000084	0.998	n
N0.HOG0000085	0	y
N0.HOG0000086	0.001	y
N0.HOG0000087	0	y
N0.HOG0000088	0	y
N0.HOG0000089	0	y
N0.HOG0000090	0	y
N0.HOG0000092	0	y
N0.HOG0000093	0	y
N0.HOG0000095	0	y
N0.HOG0000100	0.327	n
N0.HOG0000101	0	y
N0.HOG0000103	0.551	n
N0.HOG0000104	0.566	n
N0.HOG0000106	0.229	n
N0.HOG0000107	0.369	n
N0.HOG0000108	0	y
N0.HOG0000112	0	y
N0.HOG0000113	0	y
N0.HOG0000118	0.988	n
N0.HOG0000119	0	y
N0.HOG0000120	0	y
N0.HOG0000121	0	y
N0.HOG0000125	0	y
N0.HOG0000126	0	y
N0.HOG0000127	0	y
N0.HOG0000130	0.1	n
N0.HOG0000131	0.053	n
N0.HOG0000132	0.711	n
N0.HOG0000135	0	y
N0.HOG0000136	0	y
N0.HOG0000137	0.052	n
N0.HOG0000138	0.05	n
N0.HOG0000139	0	y
N0.HOG0000140	0	y
N0.HOG0000141	0	y
N0.HOG0000142	0	y
N0.HOG0000145	0	y
N0.HOG0000156	0	y
N0.HOG0000157	0	y
N0.HOG0000159	0.574	n
N0.HOG0000160	0.035	y
N0.HOG0000161	0	y
N0.HOG0000164	0	y
N0.HOG0000165	0.012	y
N0.HOG0000166	0.001	y
N0.HOG0000169	0	y
N0.HOG0000170	0	y
N0.HOG0000171	0.113	n
N0.HOG0000172	0.832	n
N0.HOG0000173	0	y
N0.HOG0000174	0	y
N0.HOG0000177	0	y
N0.HOG0000179	0	y
N0.HOG0000182	0.373	n
N0.HOG0000183	0.673	n
N0.HOG0000184	0.376	n
N0.HOG0000185	0.655	n
N0.HOG0000186	0.201	n
N0.HOG0000187	0.768	n
N0.HOG0000188	0.787	n
N0.HOG0000190	0.717	n
N0.HOG0000191	0.233	n
N0.HOG0000193	0.158	n
N0.HOG0000194	0	y
N0.HOG0000198	0	y
N0.HOG0000200	0	y
N0.HOG0000204	0	y
N0.HOG0000210	0.138	n
N0.HOG0000211	0.331	n
N0.HOG0000212	0.498	n
N0.HOG0000213	0.528	n
N0.HOG0000214	0.175	n
N0.HOG0000215	0	y
N0.HOG0000216	0.691	n
N0.HOG0000217	0.348	n
N0.HOG0000218	0	y
N0.HOG0000219	0.4	n
N0.HOG0000220	0	y
N0.HOG0000221	0	y
N0.HOG0000232	0.972	n
N0.HOG0000233	0	y
N0.HOG0000234	0	y
