Drosophila melanogaster, GCA_000001215.4
Ignelater luminosus, GCA_011009095.1
Photinus pyralis, GCA_008802855.1
Coccinella septempunctata, GCF_907165205.1
Asbolus verrucosus, GCA_004193795.1
Tribolium castaneum, GCA_000002335.3
Zophobas morio, GCA_027724725.1
Tenebrio molitor, GCA_027725215.1
Dendroctonus ponderosae, GCA_000355655.1
Rhynchophorus ferrugineus, GCA_014462685.1
Acanthoscelides obtectus, GCA_963669975.1
Bruchidius siliquastri, GCA_949316355.1
Callosobruchus chinensis, GCA_944317955.1 ## TODO update for corrected one
Callosobruchus maculatus, GCA_951848785.1
