Desc	HOG	A_obtectus	A_verrucosus	B_siliquastri	C_chinensis	C_maculatus	C_septempunctata	D_melanogaster	D_ponderosae	I_luminosus	P_pyralis	R_ferrugineus	T_castaneum	T_molitor	Z_morio
(null)	N0.HOG0000000	0	0	0	0	0	756	0	0	0	0	0	0	0	1
(null)	N0.HOG0000001	0	0	0	0	3	0	0	0	0	0	2	0	0	0
(null)	N0.HOG0000002	0	0	0	0	0	0	0	4	0	0	0	0	0	0
(null)	N0.HOG0000003	0	2	0	0	0	0	0	0	0	2	0	1	4	2
(null)	N0.HOG0000004	2	0	0	0	0	0	2	0	0	0	0	0	0	0
(null)	N0.HOG0000005	1	0	0	0	0	0	2	0	0	0	0	0	0	0
(null)	N0.HOG0000006	0	0	0	0	0	0	2	0	0	0	0	0	0	0
(null)	N0.HOG0000007	0	0	0	0	0	0	0	0	4	2	3	0	0	0
(null)	N0.HOG0000008	1	0	0	0	0	0	1	0	1	16	0	0	0	0
(null)	N0.HOG0000009	2	1	0	21	27	54	0	0	0	6	1	0	8	3
(null)	N0.HOG0000010	0	0	0	0	0	0	4	0	0	0	0	0	0	0
(null)	N0.HOG0000011	5	14	6	9	33	47	0	37	1	9	9	4	8	15
(null)	N0.HOG0000012	22	0	0	0	0	0	1	5	3	1	2	0	1	0
(null)	N0.HOG0000013	4	0	1	0	0	0	3	0	1	1	1	0	0	0
(null)	N0.HOG0000014	121	34	6	38	56	13	1	1	29	60	3	1	4	10
(null)	N0.HOG0000015	1	1	1	1	2	1	1	1	9	1	4	1	1	1
(null)	N0.HOG0000016	0	0	1	3	1	0	1	0	0	0	2	2	1	2
(null)	N0.HOG0000017	1	0	2	2	3	1	1	9	3	0	8	0	2	3
(null)	N0.HOG0000018	0	0	0	0	0	1	1	1	0	1	1	0	0	0
(null)	N0.HOG0000019	0	0	0	0	0	0	1	1	0	0	0	0	0	0
(null)	N0.HOG0000020	3	2	2	8	5	1	1	5	4	0	3	1	4	3
(null)	N0.HOG0000021	2	0	3	1	1	0	0	1	0	0	2	2	1	2
(null)	N0.HOG0000022	0	2	1	0	0	1	0	4	0	0	5	1	2	1
(null)	N0.HOG0000023	7	8	9	14	15	4	1	10	13	0	16	9	14	15
(null)	N0.HOG0000024	4	0	4	3	3	3	1	7	6	0	7	0	2	3
(null)	N0.HOG0000025	0	0	0	328	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000026	1	0	0	317	1	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000027	9	29	14	10	12	10	16	8	73	28	18	35	52	2
(null)	N0.HOG0000028	1	1	1	1	1	3	0	1	2	0	1	1	1	1
(null)	N0.HOG0000029	2	1	2	2	3	2	7	2	4	10	2	2	1	2
(null)	N0.HOG0000030	10	17	10	7	10	11	3	12	11	22	16	26	23	33
(null)	N0.HOG0000031	3	3	4	3	2	5	1	3	3	4	3	3	2	5
(null)	N0.HOG0000032	53	8	7	37	52	27	0	1	43	55	0	2	18	7
(null)	N0.HOG0000033	53	8	14	18	53	33	1	1	39	64	2	0	0	14
(null)	N0.HOG0000034	23	15	4	31	42	7	0	8	81	6	63	1	1	13
(null)	N0.HOG0000035	135	5	1	32	17	19	1	3	11	23	4	1	10	15
(null)	N0.HOG0000036	1	0	0	0	0	0	2	0	0	0	0	0	0	0
(null)	N0.HOG0000037	10	48	6	6	8	3	3	0	1	0	5	22	21	39
(null)	N0.HOG0000038	1	5	4	2	1	1	3	5	33	11	1	7	7	13
(null)	N0.HOG0000039	4	3	3	2	3	5	3	6	8	1	5	3	6	4
(null)	N0.HOG0000040	1	1	0	0	1	1	1	1	1	1	0	1	1	1
(null)	N0.HOG0000041	1	0	0	1	1	1	1	1	1	1	1	1	1	1
(null)	N0.HOG0000042	1	1	0	1	0	1	1	0	1	1	0	1	1	1
(null)	N0.HOG0000043	6	13	2	4	8	11	0	10	13	12	13	18	17	21
(null)	N0.HOG0000044	2	2	1	1	3	1	2	0	1	2	1	1	2	0
(null)	N0.HOG0000045	14	28	16	15	18	17	2	14	37	22	12	19	11	29
(null)	N0.HOG0000046	35	6	19	20	80	34	0	0	2	40	0	5	11	0
(null)	N0.HOG0000047	3	64	11	6	6	3	0	0	38	41	1	12	28	38
(null)	N0.HOG0000048	77	7	6	27	22	14	0	0	46	30	3	0	5	10
(null)	N0.HOG0000049	62	22	9	9	18	24	1	2	45	18	0	7	11	15
(null)	N0.HOG0000050	5	0	2	4	5	0	1	2	9	3	4	14	6	7
