Desc	HOG	A_obtectus	A_verrucosus	B_siliquastri	C_chinensis	C_maculatus	C_septempunctata	D_melanogaster	D_ponderosae	I_luminosus	P_pyralis	R_ferrugineus	T_castaneum	T_molitor	Z_morio
(null)	N0.HOG0000004	2	0	0	0	0	0	2	0	0	0	0	0	0	0
(null)	N0.HOG0000005	1	0	0	0	0	0	2	0	0	0	0	0	0	0
(null)	N0.HOG0000006	0	0	0	0	0	0	2	0	0	0	0	0	0	0
(null)	N0.HOG0000008	1	0	0	0	0	0	1	0	1	16	0	0	0	0
(null)	N0.HOG0000010	0	0	0	0	0	0	4	0	0	0	0	0	0	0
(null)	N0.HOG0000012	22	0	0	0	0	0	1	5	3	1	2	0	1	0
(null)	N0.HOG0000013	4	0	1	0	0	0	3	0	1	1	1	0	0	0
(null)	N0.HOG0000015	1	1	1	1	2	1	1	1	9	1	4	1	1	1
(null)	N0.HOG0000016	0	0	1	3	1	0	1	0	0	0	2	2	1	2
(null)	N0.HOG0000017	1	0	2	2	3	1	1	9	3	0	8	0	2	3
(null)	N0.HOG0000018	0	0	0	0	0	1	1	1	0	1	1	0	0	0
(null)	N0.HOG0000019	0	0	0	0	0	0	1	1	0	0	0	0	0	0
(null)	N0.HOG0000020	3	2	2	8	5	1	1	5	4	0	3	1	4	3
(null)	N0.HOG0000023	7	8	9	14	15	4	1	10	13	0	16	9	14	15
(null)	N0.HOG0000024	4	0	4	3	3	3	1	7	6	0	7	0	2	3
(null)	N0.HOG0000027	9	29	14	10	12	10	16	8	73	28	18	35	52	2
(null)	N0.HOG0000029	2	1	2	2	3	2	7	2	4	10	2	2	1	2
(null)	N0.HOG0000030	10	17	10	7	10	11	3	12	11	22	16	26	23	33
(null)	N0.HOG0000031	3	3	4	3	2	5	1	3	3	4	3	3	2	5
(null)	N0.HOG0000033	53	8	14	18	53	33	1	1	39	64	2	0	0	14
(null)	N0.HOG0000036	1	0	0	0	0	0	2	0	0	0	0	0	0	0
