OG	correlation_coeff	p-value	sig_after_multiple_testing
N0.HOG0000145	0.2657342657342658	0.40383308831471165	n
N0.HOG0001439	0.06338185336835989	0.844853681587023	n
N0.HOG0002042	0.612691249227479	0.03416813855342598	n
N0.HOG0009002	0.027972027972027972	0.9312343512018808	n
N0.HOG0000015	0.5633942521631989	0.05644958783915075	n
N0.HOG0000038	0.14685314685314685	0.6487957097846664	n
N0.HOG0001033	-0.006993006993006993	0.9827917689028476	n
N0.HOG0001850	0.28474258892534354	0.36970108096762055	n
N0.HOG0000721	0.07976251621932409	0.805365010461281	n
N0.HOG0010122	0.14685314685314685	0.6487957097846664	n
N0.HOG0007195	0.33625270480240615	0.28522608724863086	n
N0.HOG0002954	0.20665530815981217	0.5193022970166132	n
N0.HOG0000525	0.6153846153846154	0.03316990109010587	n
N0.HOG0001268	-0.2605698416254795	0.41337102043327534	n
N0.HOG0003591	-0.08056054385890982	0.80345110920634	n
N0.HOG0000531	0.6013986013986015	0.03858845292201944	n
N0.HOG0005307	0.11558686727582713	0.7205545635404205	n
N0.HOG0000276	0.6713286713286714	0.016831456186893395	n
N0.HOG0000793	0.03152369107522558	0.9225248645215405	n
N0.HOG0000173	0.1126788504326398	0.7273453279440116	n
N0.HOG0001604	0.15660842390893895	0.6269248019462761	n
N0.HOG0000916	-0.03625568919060187	0.9109332051797949	n
N0.HOG0000218	0.2447552447552448	0.4432619364501832	n
N0.HOG0000204	0.17482517482517487	0.5868236643627043	n
N0.HOG0003110	-0.20154586040855682	0.529908390325752	n
N0.HOG0000059	0.20979020979020982	0.5128409431818263	n
N0.HOG0000817	-0.32867132867132864	0.2969041156887641	n
N0.HOG0001708	0.14556089918395773	0.6517125235441018	n
N0.HOG0001716	-0.17440483571677293	0.5877375856990321	n
N0.HOG0000033	0.7272727272727274	0.007355028857805126	n
N0.HOG0002680	0.2937062937062937	0.35414764123292175	n
N0.HOG0002365	-0.18881118881118883	0.5567370561768314	n
N0.HOG0000069	0.5034965034965035	0.09515736659412469	n
N0.HOG0001127	0.2253577008652796	0.4812874129466269	n
N0.HOG0000429	0.4055944055944056	0.19083587400450033	n
N0.HOG0000950	0.15952503243864818	0.6204381188090293	n
N0.HOG0000764	0.16783216783216784	0.602099427786538	n
N0.HOG0010822	-0.07018197256657412	0.8284158044226562	n
