OG	slope	p-value	sig_after_multiple_testing
N0.HOG0000004	0.0003968840542532495	0.2318172306368076	x
N0.HOG0000005	-5.97089345266097e-06	0.9607310165411815	x
N0.HOG0000008	-0.00046933635727200917	0.590710226731991	n
N0.HOG0000012	0.0019696940185617547	0.1704099781578253	n
N0.HOG0000013	0.0007962462531935518	0.2205864073443034	x
N0.HOG0000015	0.00183950789385698	0.026868404557871196	n
N0.HOG0000016	-0.00043126963786601963	0.5873157347756056	n
N0.HOG0000017	0.00029333438378168023	0.7565708445191563	n
N0.HOG0000018	0.0	1.0	x
N0.HOG0000019	0.0	1.0	x
N0.HOG0000020	0.0006553196118704936	0.48524608371761935	n
N0.HOG0000023	0.0006989181943616071	0.4525498853699714	n
N0.HOG0000024	0.0005476999344887562	0.524520795992349	n
N0.HOG0000027	-0.0008820169827012481	0.5691938587596888	n
N0.HOG0000029	0.0008223318758534703	0.21390600542325042	x
N0.HOG0000030	-1.4194351689994874e-05	0.9793360917733653	n
N0.HOG0000031	-0.00042243991557833866	0.4275335599494574	x
N0.HOG0000033	0.004497371686380779	0.012219000180513162	n
N0.HOG0000036	-5.97089345266097e-06	0.9607310165411815	x
N0.HOG0000037	0.00038407495301155133	0.7605706730775539	n
N0.HOG0000038	-0.0012578713621318712	0.28120256648985575	n
N0.HOG0000039	0.0006615890903543769	0.36509273574958245	n
N0.HOG0000040	0.0	1.0	x
N0.HOG0000041	0.0	1.0	x
N0.HOG0000042	0.0	1.0	x
N0.HOG0000044	0.0012069360451412007	0.08050661160296169	n
N0.HOG0000045	0.0008246772641592325	0.1913663458016883	n
N0.HOG0000049	0.0029354017399723055	0.033603843561830576	n
N0.HOG0000050	0.001488566108110532	0.16070526482259467	n
N0.HOG0000053	-0.0013389833526170492	0.42271331941316637	n
N0.HOG0000054	0.002900203151400113	0.03625419267443192	n
N0.HOG0000056	-0.00046937979279616077	0.6114230701793341	n
N0.HOG0000059	0.001434150251650167	0.3415104929980395	n
N0.HOG0000061	0.0006517544222850702	0.280667938044178	x
