OG	correlation_coeff	p-value	sig_after_multiple_testing
N0.HOG0000145	0.10489510489510491	0.7456094809807079	n
N0.HOG0001439	0.09155156597651984	0.7771962894578055	n
N0.HOG0002042	0.3873335483621993	0.2135115526743914	n
N0.HOG0009002	-0.11188811188811189	0.729194990751066	n
N0.HOG0000015	0.2183152727132396	0.49545035953231165	n
N0.HOG0000038	-0.06293706293706294	0.8459309212287789	n
N0.HOG0001033	0.3216783216783217	0.30790987618065263	n
N0.HOG0001850	0.14948985918580535	0.6428582844892912	n
N0.HOG0000721	-0.05800910270496299	0.8578817998209817	n
N0.HOG0010122	-0.006993006993006993	0.9827917689028476	n
N0.HOG0007195	0.1331000289842858	0.6800638459197366	n
N0.HOG0002954	0.14010529366766927	0.6640757694429809	n
N0.HOG0000525	0.3216783216783217	0.30790987618065263	n
N0.HOG0001268	-0.2605698416254795	0.41337102043327534	n
N0.HOG0003591	-0.049036852783684234	0.8797094411808868	n
N0.HOG0000531	0.49650349650349657	0.10060263183225483	n
N0.HOG0005307	-0.03502632341691732	0.9139432528752413	n
N0.HOG0000276	0.7972027972027973	0.0019003677255282703	n
N0.HOG0000793	0.25218952860180466	0.42908344267490994	n
N0.HOG0000173	-0.2464849853213996	0.43994311321635393	n
N0.HOG0001604	0.04982995306193512	0.8777766794108113	n
N0.HOG0000916	0.014502275676240748	0.9643208120702008	n
N0.HOG0000218	0.08391608391608392	0.7954145018538977	n
N0.HOG0000204	-0.17482517482517487	0.5868236643627043	n
N0.HOG0003110	-0.5299909662595385	0.07633046581569501	n
N0.HOG0000059	0.1398601398601399	0.6646331617926677	n
N0.HOG0000817	-0.06293706293706294	0.8459309212287789	n
N0.HOG0001708	0.20901052190517005	0.5144446616196205	n
N0.HOG0001716	0.09254134140073665	0.7748420204627596	n
N0.HOG0000033	0.7132867132867133	0.009201779777634755	n
N0.HOG0002680	0.04895104895104895	0.8799185788786749	n
N0.HOG0002365	-0.2517482517482518	0.42991878503288405	n
N0.HOG0000069	0.43356643356643365	0.1591057694121953	n
N0.HOG0001127	0.2183152727132396	0.49545035953231165	n
N0.HOG0000429	0.3426573426573427	0.27556745095678037	n
N0.HOG0000950	-0.05800910270496299	0.8578817998209817	n
N0.HOG0000764	0.32867132867132864	0.2969041156887641	n
N0.HOG0010822	-0.2729298933144549	0.39073082997882846	n
N0.HOG0000560	-0.515061643266312	0.08659296996223632	n
N0.HOG0000625	-0.21355694169400766	0.5051242606511095	n
N0.HOG0000490	0.2755432378485742	0.38602672186304166	n
N0.HOG0002345	0.6267761055315589	0.029178067781260492	n
N0.HOG0000573	-0.5384615384615385	0.07089431754922315	n
N0.HOG0011349	0.20643837697087405	0.5197507165228195	n
N0.HOG0000200	0.5384615384615385	0.07089431754922315	n
N0.HOG0018962	-0.07474492959290267	0.8174207303894088	n
N0.HOG0003035	0.4055944055944056	0.19083587400450033	n
N0.HOG0012168	0.6024527627709778	0.03815947554942023	n
N0.HOG0002098	0.2464849853213996	0.43994311321635393	n
N0.HOG0000555	-0.3076923076923077	0.3305892594121097	n
N0.HOG0002037	0.5034965034965035	0.09515736659412469	n
N0.HOG0000044	0.3426573426573427	0.27556745095678037	n
N0.HOG0000012	-0.03502632341691732	0.9139432528752413	n
N0.HOG0000339	0.0563394252163199	0.8619373037131002	n
N0.HOG0001927	0.034965034965034975	0.9140933424107598	n
