OG	slope	p-value	sig_after_multiple_testing
N0.HOG0000004	0.009726185449880862	0.15993421210368364	x
N0.HOG0000005	-0.0008374449527971587	0.7430410449691186	x
N0.HOG0000008	0.0017868394462101879	0.923274044223817	n
N0.HOG0000012	0.032360064545132614	0.2950226884995729	n
N0.HOG0000013	0.019799941958754345	0.14314875256258147	x
N0.HOG0000015	0.013554649865001088	0.48512826800527387	n
N0.HOG0000016	0.007001150462373616	0.6774073990384107	n
N0.HOG0000017	-0.022854863260385796	0.23827859835912887	n
N0.HOG0000018	0.0	1.0	x
N0.HOG0000019	0.0	1.0	x
N0.HOG0000020	-0.016608927666076093	0.399784273104673	n
N0.HOG0000023	-0.005559636272227023	0.7797145986567113	n
N0.HOG0000024	-0.004715661958382805	0.79689006355472	n
N0.HOG0000027	-0.026482124562849617	0.41454168362277966	n
N0.HOG0000029	0.019348609400946973	0.16208707061921948	x
N0.HOG0000030	0.0073333946619304384	0.5222451058550055	n
N0.HOG0000031	0.004137860361389971	0.716095168929475	x
N0.HOG0000033	0.082406594742174	0.03716406081567393	n
N0.HOG0000036	-0.0008374449527971587	0.7430410449691186	x
N0.HOG0000037	0.017608626490177196	0.5046698153993691	n
N0.HOG0000038	-0.03851018053586384	0.10614423968167486	n
N0.HOG0000039	-0.002437087706988483	0.8768049351703223	n
N0.HOG0000040	0.0	1.0	x
N0.HOG0000041	0.0	1.0	x
N0.HOG0000042	0.0	1.0	x
N0.HOG0000044	0.00912397662141465	0.5569537333913759	n
N0.HOG0000045	0.011631046894245874	0.3938040528201595	n
N0.HOG0000049	0.05465805507243987	0.06810676530091521	n
N0.HOG0000050	0.04066019282804616	0.06001260392446553	n
N0.HOG0000053	-0.009624271089903083	0.7877793079992544	n
N0.HOG0000054	0.030612316563115752	0.3335010811575465	n
N0.HOG0000056	-0.022216179148166728	0.2424400287705739	n
N0.HOG0000059	0.01947195080539091	0.546000376278918	n
N0.HOG0000061	0.007789646274633696	0.5491420616141574	x
N0.HOG0000066	0.0	1.0	x
N0.HOG0000067	0.015585449276425955	0.33517167090635924	n
N0.HOG0000068	0.10079574800179092	0.0016880204987309885	n
N0.HOG0000069	0.06168876712097471	0.07955754251045773	n
N0.HOG0000071	0.020553067952261427	0.5399960449092311	n
N0.HOG0000072	0.08552656000190285	0.04257152511928618	n
N0.HOG0000073	-0.009996652067630398	0.5756288565015458	n
N0.HOG0000075	0.04023247527183328	0.34742214451374853	n
N0.HOG0000078	-0.028210775205232245	0.07161199252359178	n
N0.HOG0000079	0.0014899585957020708	0.9203420548795548	x
N0.HOG0000082	-0.012276754025092807	0.33512384522590477	n
N0.HOG0000083	0.0012989358774014269	0.9074604458229454	x
N0.HOG0000084	-0.0016748899055943174	0.7430410449691186	x
N0.HOG0000085	-0.0115784391940343	0.6146001086189099	n
N0.HOG0000086	0.0003000270431782874	0.9866802075648888	n
N0.HOG0000087	0.037573974725486924	0.2680221389187949	n
N0.HOG0000088	0.042749958208077685	0.05509928026125691	n
N0.HOG0000089	0.013572030951800458	0.4180888027635117	n
N0.HOG0000090	0.013792216194307412	0.6864674938568012	n
N0.HOG0000092	0.0019800266532166728	0.9199990005085242	n
N0.HOG0000093	-0.041174223130403344	0.14602181365235287	n
N0.HOG0000095	0.00031747903270912655	0.988292087017587	n
N0.HOG0000100	-0.01938833296953481	0.1476114825762733	x
N0.HOG0000101	0.0033991299791813127	0.8731490713264907	n
N0.HOG0000103	0.01056363040267802	0.10537448730153388	x
N0.HOG0000104	0.011010340264230565	0.16608720516152028	x
N0.HOG0000106	-0.003921702567383674	0.6436830688343944	x
N0.HOG0000107	0.0	1.0	x
N0.HOG0000108	0.030367823249089137	0.02290948576320538	n
N0.HOG0000112	0.037032238512017236	0.04829084792237107	n
N0.HOG0000113	0.03244340400895266	0.20844603958740088	n
N0.HOG0000118	-0.001327318846601695	0.7430410449691186	x
N0.HOG0000119	0.018146035805652206	0.3232702410186813	n
N0.HOG0000120	-0.004007737676620029	0.8147351233168074	n
N0.HOG0000121	-0.046644408659248036	0.17861460904355123	n
N0.HOG0000125	-0.02669865913396339	0.2868644356732597	n
N0.HOG0000126	-0.000776620865890897	0.9791335700638415	n
N0.HOG0000127	0.0030008525687387814	0.9061869768147865	n
N0.HOG0000130	0.00018907559347254837	0.9850637776144373	x
N0.HOG0000131	0.0	1.0	x
N0.HOG0000132	0.0	1.0	x
N0.HOG0000135	0.04767604162155825	0.19795945488371272	n
N0.HOG0000136	0.012414301037652672	0.5363358201853677	n
N0.HOG0000137	0.001015974012493584	0.816140238262959	x
N0.HOG0000138	0.022363226416585533	0.1702869327529801	n
N0.HOG0000139	0.06376890157258339	0.10725056945492305	n
N0.HOG0000140	0.03194865141726858	0.14906237700794636	n
N0.HOG0000141	0.014254585665130928	0.22544007330263507	n
N0.HOG0000142	-0.006411230653089202	0.7667486161594856	n
N0.HOG0000145	-0.00815498884463253	0.7137828456282767	n
N0.HOG0000156	-0.024668456288114902	0.33546782328412916	n
N0.HOG0000157	0.001892711936226003	0.947949746955635	n
N0.HOG0000159	-0.0005664900271531796	0.9646971390820691	x
N0.HOG0000160	-0.009090572040654726	0.5848056414601837	x
N0.HOG0000161	0.0057326404411106235	0.7916761359604157	n
N0.HOG0000164	0.012387766711335652	0.6656503510337853	n
N0.HOG0000165	0.016369274298621346	0.2879543080596552	n
N0.HOG0000166	0.012250053067048683	0.3968786875229572	n
N0.HOG0000169	-0.041150429724314756	0.11999236616231079	n
N0.HOG0000170	-0.04767971795034741	0.0713739238978082	n
N0.HOG0000171	0.0014394922754366864	0.8989793991663224	x
N0.HOG0000172	-0.005510801392082871	0.5267303637161004	x
N0.HOG0000173	-0.011566403644459643	0.5765154526346676	n
N0.HOG0000174	-0.02428579000029739	0.2961337777527612	n
N0.HOG0000177	-0.01291411378291701	0.5587199924400653	n
N0.HOG0000179	-0.026511209040770898	0.08768867705727722	n
N0.HOG0000182	-0.003664809284658544	0.6579461591278607	x
N0.HOG0000183	0.007004768057747079	0.345057082190272	x
N0.HOG0000184	-0.013347294700734088	0.21716858115589696	x
N0.HOG0000185	0.0	1.0	x
N0.HOG0000186	0.015049529016115896	0.2613244443184576	x
N0.HOG0000187	0.0	1.0	x
N0.HOG0000188	-0.005436781441509247	0.6267690376591539	x
N0.HOG0000190	0.0	1.0	x
N0.HOG0000191	0.00802212791454616	0.4867670574627305	x
N0.HOG0000193	0.003245566042243849	0.7940458902505395	x
N0.HOG0000194	-0.02479353528598311	0.28813606654966223	n
N0.HOG0000198	0.008563088414194507	0.6152527623009378	n
N0.HOG0000200	0.039287283585487054	0.14103818922737313	n
