Orthogroup_ID	CAFE_p-value	Gene_Group	Group_function	Gene_Name	D_melanogaster	I_luminosus	P_pyralis	C_septempunctata	A_verrucosus	T_castaneum	Z_morio	T_molitor	D_ponderosae	R_ferrugineus	A_obtectus	B_siliquastri	C_chinensis	C_maculatus	max_delta_GF	transcript_ID_native	Flybase	Flybase_summary
N0.HOG0000014	0.0	None	None	None	1	29	60	13	34	1	10	4	1	3	121	6	38	56	120	rna-NM_136949.2	FBgn0033750	This gene is referred to in FlyBase by the symbol Dmel\CG13151 (FBgn0033750). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:12515375..12517284. Its molecular function is unknown. The biological processes in which it is involved are not known. 5 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of low expression.  Peak expression observed within 00-18 hour embryonic stages, during late larval stages, at stages throughout the pupal period.
N0.HOG0000027	0.0	Gene Group 1	detoxification	Cytochrome P450 6u1(Cyp6u1)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_001299221.1	FBgn0033121	The gene Cytochrome P450 6u1 is referred to in FlyBase by the symbol Dmel\Cyp6u1 (CG3567, FBgn0033121). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (1 unique). Gene sequence location is 2R:6971996..6975026. Its molecular function is described by: heme binding; iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen. The biological processes in which it is involved are not known. 4 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of moderate expression.  Peak expression observed within 00-06 and 18-24 hour embryonic stages, during early larval stages, during late pupal stages, in adult female stages.
N0.HOG0000030	0.0	Gene Group 20	transmembrane transport (toxin resistance)	uncharacterized protein(CG11898)	3	11	22	11	17	26	33	23	12	16	10	10	7	10	30	rna-NM_143422.3	FBgn0039645	This gene is referred to in FlyBase by the symbol Dmel\CG11898 (FBgn0039645). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:29165643..29171508. Its molecular function is described by: ATPase-coupled transmembrane transporter activity; ABC-type transporter activity; ATP binding; ATP hydrolysis activity. It is involved in the biological process described with: transmembrane transport. 11 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages, during late larval stages, in stages of adults of both sexes.
N0.HOG0000033	0.0	None	None	None	1	39	64	33	8	1	14	1	1	2	53	14	18	53	63	rna-NM_139889.2	FBgn0035807	This gene is referred to in FlyBase by the symbol Dmel\CG7492 (FBgn0035807). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:7651866..7654752. Its molecular function is unknown. The biological processes in which it is involved are not known. 6 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of moderate expression.  Peak expression observed within 00-18 hour embryonic stages, during late larval stages, at stages throughout the pupal period, in stages of adults of both sexes.
N0.HOG0000035	0.0	None	None	None	1	11	23	19	5	1	15	10	3	4	135	1	32	17	134	rna-NM_001275459.1	FBgn0037633	This gene is referred to in FlyBase by the symbol Dmel\CG9839 (FBgn0037633). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3R:8803471..8805802. Its molecular function is unknown. The biological processes in which it is involved are not known. 5 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: short lived; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of low expression.  Peak expression observed within 00-12 hour embryonic stages.
N0.HOG0000037	0.0	Gene Group 30	pheromone sensing	Odorant receptor 43a(Or43a)	3	1	1	3	48	22	39	21	1	5	10	6	6	8	47	rna-NM_078923.3	FBgn0026389	The gene Odorant receptor 43a is referred to in FlyBase by the symbol Dmel\Or43a (CG1854, FBgn0026389). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:7232840..7234913. Its molecular function is described by: olfactory receptor activity; odorant binding; ionotropic olfactory receptor activity. It is involved in the biological process described with: sensory perception of smell; detection of chemical stimulus involved in sensory perception of smell. 18 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; abnormal neurophysiology; partially lethal. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very low expression to a trough of no expression detected.  Peak expression observed in adult male stages.
N0.HOG0000038	0.0	Gene Group 30	pheromone sensing	Odorant receptor 94a(Or94a)	3	33	11	1	5	7	13	7	5	1	1	4	2	1	32	rna-NM_079731.1	FBgn0039033	The gene Odorant receptor 94a is referred to in FlyBase by the symbol Dmel\Or94a (CG17241, FBgn0039033). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:22987281..22988503. Its molecular function is described by: olfactory receptor activity; odorant binding; ionotropic olfactory receptor activity. It is involved in the biological process described with: detection of chemical stimulus involved in sensory perception of smell; sensory perception of smell. 5 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: abnormal smell perception; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very low expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages, during late larval stages, during late pupal stages, in adult male stages.
N0.HOG0000039	0.012	Gene Group 23	Cuticular protein	Cuticular protein 30B(Cpr30B)	3	8	1	5	3	3	4	6	6	5	4	3	2	3	7	rna-NM_135451.3	FBgn0032125	The gene Cuticular protein 30B is referred to in FlyBase by the symbol Dmel\Cpr30B (CG3818, FBgn0032125). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:9542878..9543658. Its molecular function is described by: structural constituent of chitin-based larval cuticle. It is involved in the biological process described with: chitin-based cuticle development. 6 alleles are reported. The phenotype of these alleles manifest in: mesonotum. The phenotypic classes of alleles include: abnormal body color; viable; visible; partially lethal. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of extremely high expression to a trough of no expression detected.  Peak expression observed during late pupal stages.
N0.HOG0000044	0.049	Gene Group 23	Cuticular protein	Cuticular protein 76Ba(Cpr76Ba)	2	1	2	1	2	1	1	2	1	1	2	1	1	3	2	rna-NM_140863.2	FBgn0036878	The gene Cuticular protein 76Ba is referred to in FlyBase by the symbol Dmel\Cpr76Ba (CG9283, FBgn0036878). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:19517552..19518332. Its molecular function is described by: structural constituent of chitin-based larval cuticle. It is involved in the biological process described with: chitin-based cuticle development. 2 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: some die during pupal stage; partially lethal; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages.
N0.HOG0000045	0.0	Gene Group 34	uncharacterized	Pinkman(pkm)	2	37	22	17	28	19	29	11	14	12	14	16	15	18	35	rna-NM_206689.2	FBgn0030317	The gene Pinkman is referred to in FlyBase by the symbol Dmel\pkm (CG1561, FBgn0030317). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is X:11581957..11584175. Its molecular function is described by: ecdysteroid 22-kinase activity. The biological processes in which it is involved are not known. 10 alleles are reported. The phenotypes of these alleles manifest in: presynaptic active zone; embryonic/larval neuromuscular junction. The phenotypic classes of alleles include: partially lethal - majority die; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of extremely low expression.  Peak expression observed during late pupal stages, in stages of adults of both sexes.
