Orthogroup_ID	GF_ClustertGene_Group	Cluster_function	repeat_correlation_correlation_coeff	repeat_correlation_p-value	repeat_correlation_sig_after_multiple_testing	GS_correlation_correlation_coeff	GS_correlation_p-value	GS_correlation_sig_after_multiple_testing	Gene_Name	D_melanogaster	I_luminosus	P_pyralis	C_septempunctata	A_verrucosus	T_castaneum	Z_morio	T_molitor	D_ponderosae	R_ferrugineus	A_obtectus	B_siliquastri	C_chinensis	C_maculatus	max_delta_GF	transcript_ID_native	Flybase	Flybase_summary
N0.HOG0000027	Gene Group 1	Cytochrome P450	-0.18181818181818185	0.5717012385276553	n	0.013986013986013986	0.9655902689187795	n	Cytochrome P450 6u1(Cyp6u1)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_001299221.1	FBgn0033121	The gene Cytochrome P450 6u1 is referred to in FlyBase by the symbol Dmel\Cyp6u1 (CG3567, FBgn0033121). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (1 unique). Gene sequence location is 2R:6971996..6975026. Its molecular function is described by: monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding. The biological processes in which it is involved are not known. 4 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of moderate expression.  Peak expression observed within 00-06 and 18-24 hour embryonic stages, during early larval stages, during late pupal stages, in adult female stages.
N0.HOG0000030	Gene Group 20	transmembrane transport (olfactory)	-0.027972027972027972	0.9312343512018808	n	-0.16783216783216784	0.602099427786538	n	uncharacterized protein(CG11898)	3	11	22	11	17	26	33	23	12	16	10	10	7	10	30	rna-NM_143422.3	FBgn0039645	This gene is referred to in FlyBase by the symbol Dmel\CG11898 (FBgn0039645). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:29165643..29171508. Its molecular function is described by: ATP binding; ABC-type transporter activity; ATP hydrolysis activity. It is involved in the biological process described with: transmembrane transport. 11 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages, during late larval stages, in stages of adults of both sexes.
N0.HOG0000033	None	None	0.7132867132867133	0.009201779777634755	n	0.7272727272727274	0.007355028857805126	n	None	1	39	64	33	8	1	14	1	1	2	53	14	18	53	63	rna-NM_139889.2	FBgn0035807	This gene is referred to in FlyBase by the symbol Dmel\CG7492 (FBgn0035807). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:7651866..7654752. Its molecular function is unknown. The biological processes in which it is involved are not known. 6 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of moderate expression.  Peak expression observed within 00-18 hour embryonic stages, during late larval stages, at stages throughout the pupal period, in stages of adults of both sexes.
N0.HOG0000037	Gene Group 30	pheromone sensing	-0.06993006993006995	0.8290236405313092	n	0.2027972027972028	0.5273023541661082	n	Odorant receptor 43a(Or43a)	3	1	1	3	48	22	39	21	1	5	10	6	6	8	47	rna-NM_078923.3	FBgn0026389	The gene Odorant receptor 43a is referred to in FlyBase by the symbol Dmel\Or43a (CG1854, FBgn0026389). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:7232840..7234913. Its molecular function is described by: olfactory receptor activity; odorant binding; ionotropic olfactory receptor activity. It is involved in the biological process described with: sensory perception of smell; detection of chemical stimulus involved in sensory perception of smell. 18 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: partially lethal; abnormal neurophysiology; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very low expression to a trough of no expression detected.  Peak expression observed in adult male stages.
N0.HOG0000038	Gene Group 30	pheromone sensing	-0.06293706293706294	0.8459309212287789	n	0.14685314685314685	0.6487957097846664	n	Odorant receptor 94a(Or94a)	3	33	11	1	5	7	13	7	5	1	1	4	2	1	32	rna-NM_079731.1	FBgn0039033	The gene Odorant receptor 94a is referred to in FlyBase by the symbol Dmel\Or94a (CG17241, FBgn0039033). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:22987281..22988503. Its molecular function is described by: ionotropic olfactory receptor activity; olfactory receptor activity; odorant binding. It is involved in the biological process described with: sensory perception of smell; detection of chemical stimulus involved in sensory perception of smell. 5 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; abnormal smell perception. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very low expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages, during late larval stages, during late pupal stages, in adult male stages.
N0.HOG0000039	Gene Group 24	Cuticular protein	-0.21678321678321683	0.49855598552418856	n	0.0979020979020979	0.762121655996299	n	Cuticular protein 30B(Cpr30B)	3	8	1	5	3	3	4	6	6	5	4	3	2	3	7	rna-NM_135451.3	FBgn0032125	The gene Cuticular protein 30B is referred to in FlyBase by the symbol Dmel\Cpr30B (CG3818, FBgn0032125). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:9542878..9543658. Its molecular function is described by: structural constituent of chitin-based larval cuticle. It is involved in the biological process described with: chitin-based cuticle development. 6 alleles are reported. The phenotype of these alleles manifest in: mesonotum. The phenotypic classes of alleles include: partially lethal; abnormal body color; visible; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of extremely high expression to a trough of no expression detected.  Peak expression observed during late pupal stages.
N0.HOG0000044	Gene Group 24	Cuticular protein	0.3426573426573427	0.27556745095678037	n	0.5314685314685316	0.07536233505348364	n	Cuticular protein 76Ba(Cpr76Ba)	2	1	2	1	2	1	1	2	1	1	2	1	1	3	2	rna-NM_140863.2	FBgn0036878	The gene Cuticular protein 76Ba is referred to in FlyBase by the symbol Dmel\Cpr76Ba (CG9283, FBgn0036878). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:19517552..19518332. Its molecular function is described by: structural constituent of chitin-based larval cuticle. It is involved in the biological process described with: chitin-based cuticle development. 2 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: some die during pupal stage; partially lethal; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages.
N0.HOG0000045	Gene Group 34	uncharacterized	0.1188811188811189	0.712884219214772	n	0.4895104895104896	0.106252371759346	n	Pinkman(pkm)	2	37	22	17	28	19	29	11	14	12	14	16	15	18	35	rna-NM_206689.2	FBgn0030317	The gene Pinkman is referred to in FlyBase by the symbol Dmel\pkm (CG1561, FBgn0030317). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is X:11581957..11584175. Its molecular function is described by: ecdysteroid 22-kinase activity. The biological processes in which it is involved are not known. 10 alleles are reported. The phenotypes of these alleles manifest in: embryonic/larval neuromuscular junction; presynaptic active zone. The phenotypic classes of alleles include: partially lethal - majority die; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of extremely low expression.  Peak expression observed during late pupal stages, in stages of adults of both sexes.
N0.HOG0000049	None	None	0.5524475524475525	0.06251148327961512	n	0.8671328671328673	0.00025981184986148103	y	cag (from API summary)	1	45	18	24	22	7	15	11	2	1	62	9	9	18	61	rna-NM_057859.4	FBgn0017414	The gene cag is referred to in FlyBase by the symbol Dmel\cag (CG12346, FBgn0017414). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 2R:10893034..10894414. Its molecular function is described by: DNA binding. The biological processes in which it is involved are not known. 10 alleles are reported. The phenotypes of these alleles manifest in: sarcomere; mesonotum; trichogen cell; Z disc. The phenotypic classes of alleles include: some die during pupal stage; lethal - all die during larval stage; partially lethal - majority die; viable; visible. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of low expression.  Peak expression observed within 00-18 hour embryonic stages, during late larval stages, at stages throughout the pupal period.
N0.HOG0000056	Gene Group 7	odorant binding	-0.5104895104895105	0.08991373630263913	n	-0.1328671328671329	0.6805975082860818	n	Odorant-binding protein 56e(Obp56e)	3	11	4	4	46	19	33	44	7	24	7	9	6	6	43	rna-NM_137601.4	FBgn0034471	The gene Odorant-binding protein 56e is referred to in FlyBase by the symbol Dmel\Obp56e (CG8462, FBgn0034471). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is 2R:19712345..19712932. Its molecular function is described by: odorant binding. It is involved in the biological process described with: insemination; sensory perception of smell; sensory perception of chemical stimulus. 5 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: abnormal behavior; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of no expression detected.  Peak expression observed in adult male stages.
N0.HOG0000059	Gene Group 1	Cytochrome P450	0.1398601398601399	0.6646331617926677	n	0.20979020979020982	0.5128409431818263	n	Cytochrome P450 9f3(Cyp9f3)	6	57	32	7	10	20	3	26	9	10	7	1	7	6	56	rna-NM_001363930.1	FBgn0038034	The gene Cytochrome P450 9f3 is referred to in FlyBase by the symbol Dmel\Cyp9f3 (CG17875, FBgn0038034). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:12396007..12398929. Its molecular function is described by: iron ion binding. The biological processes in which it is involved are not known. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of very low expression.  Peak expression observed within 18-24 hour embryonic stages, during late larval stages, at stages throughout the pupal period, in adult male stages.
