Orthogroup_ID	transcript_ID_native	Flybase	Flybase_summary	CAFE_p-value	I_luminosus_num_GF_members	A_verrucosus_num_GF_members	P_pyralis_num_GF_members	D_ponderosae_num_GF_members	B_siliquastri_num_GF_members	A_obtectus_num_GF_members	C_chinensis_num_GF_members	Z_morio_num_GF_members	D_melanogaster_num_GF_members	R_ferrugineus_num_GF_members	C_septempunctata_num_GF_members	T_castaneum_num_GF_members	C_maculatus_num_GF_members	T_molitor_num_GF_members	max_delta_GF
N0.HOG0000005	rna-NM_166229.3	FBgn0028953	This gene is referred to in FlyBase by the symbol Dmel\CG14478 (FBgn0028953). It is a protein_coding_gene from Dmel. It has 4 annotated transcripts and 4 polypeptides (1 unique). Gene sequence location is 2R:17457663..17465795. Its molecular function is described by: nucleic acid binding. The biological processes in which it is involved are not known. 19 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: abnormal behavior; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of moderate expression.  Peak expression observed within 00-12 hour embryonic stages.  		0.008	2	1	0	1	1	1	7	0	1	0	1	0	1	0	7
N0.HOG0000006	rna-NM_141770.3	FBgn0037844	This gene is referred to in FlyBase by the symbol Dmel\CG4570 (FBgn0037844). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:10856807..10858066. Its molecular function is described by: nucleic acid binding. The biological processes in which it is involved are not known. 10 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of very low expression.  Peak expression observed within 00-06 hour embryonic stages.  		0.0	7	2	1	1	1	9	300	11	1	1	1	1	2	6	299
N0.HOG0000008	rna-NM_133101.4	FBgn0030963	This gene is referred to in FlyBase by the symbol Dmel\CG7101 (FBgn0030963). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is X:18830591..18832123. Its molecular function is described by: transcription cis-regulatory region binding; chromatin insulator sequence binding. It is involved in the biological process described with: regulation of transcription by RNA polymerase II; DNA-templated transcription. 14 alleles are reported. The phenotype of these alleles manifest in: wing. The phenotypic classes of alleles include: lethal; partially lethal; visible; viable; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of low expression.  Peak expression observed within 00-06 hour embryonic stages, in adult female stages.  		0.0	4	4	2	4	1	7	13	0	1	11	1	1	3	5	13
N0.HOG0000009	rna-NM_176128.5	FBgn0283521	The gene longitudinals lacking is referred to in FlyBase by the symbol Dmel\lola (CG12052, FBgn0283521). It is a protein_coding_gene from Dmel. It has 25 annotated transcripts and 25 polypeptides (20 unique). Gene sequence location is 2R:10481894..10543291. Its molecular function is described by: protein binding; DNA binding; DNA-binding transcription factor activity. It is involved in the biological process described with 17 unique terms, many of which group under: apoptotic process; antimicrobial humoral response; transcription by RNA polymerase II; gonad development; compound eye photoreceptor development. 257 alleles are reported. The phenotypes of these alleles manifest in: stem cell; plasma membrane bounded cell projection; cuboidal/columnar epithelium; presumptive embryonic/larval nervous system; cell junction. The phenotypic classes of alleles include: phenotype; abnormal mating; visible; abnormal locomotor behavior.	0.0	37	16	1	38	16	26	46	9	1	33	1	1	23	9	45
N0.HOG0000014	rna-NM_136546.3	FBgn0033304	The gene Cytochrome P450 6a13 is referred to in FlyBase by the symbol Dmel\Cyp6a13 (CG2397, FBgn0033304). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:8570499..8572147. Its molecular function is described by: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; monooxygenase activity; iron ion binding; heme binding. It is involved in the biological process described with: defense response to bacterium. 4 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: fertile; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of very low expression.  Peak expression observed in adult male stages.  		0.0	60	29	17	3	17	9	7	40	12	22	7	27	11	45	57
N0.HOG0000014	rna-NM_143761.4	FBgn0015714	The gene Cytochrome P450 6a17 is referred to in FlyBase by the symbol Dmel\Cyp6a17 (CG10241, FBgn0015714). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 2R:14873953..14875739. Its molecular function is described by: iron ion binding; heme binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen. It is involved in the biological process described with: thermosensory behavior. 11 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: abnormal temperature response; viable; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed within 18-24 hour embryonic stages, at stages throughout the larval period, during early pupal stages, in adult male stages.  		0.0	60	29	17	3	17	9	7	40	12	22	7	27	11	45	57
N0.HOG0000014	rna-NM_137156.3	FBgn0033978	The gene Cytochrome P450 6a23 is referred to in FlyBase by the symbol Dmel\Cyp6a23 (CG10242, FBgn0033978). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:14875829..14877654. Its molecular function is described by: iron ion binding; heme binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; monooxygenase activity. The biological processes in which it is involved are not known. 6 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of very low expression.  Peak expression observed within 12-24 hour embryonic stages, during late larval stages.  		0.0	60	29	17	3	17	9	7	40	12	22	7	27	11	45	57
N0.HOG0000014	rna-NM_137157.4	FBgn0033979	The gene Cytochrome P450 6a19 is referred to in FlyBase by the symbol Dmel\Cyp6a19 (CG10243, FBgn0033979). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is 2R:14877786..14879752. Its molecular function is described by: heme binding; iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen. The biological processes in which it is involved are not known. 7 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of extremely low expression.  Peak expression observed within 00-06 hour embryonic stages, in adult female stages.  		0.0	60	29	17	3	17	9	7	40	12	22	7	27	11	45	57
N0.HOG0000014	rna-NM_079025.5	FBgn0013772	The gene Cytochrome P450 6a8 is referred to in FlyBase by the symbol Dmel\Cyp6a8 (CG10248, FBgn0013772). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:14887171..14889010. Its molecular function is described by 7 unique terms, many of which group under: catalytic activity; oxidoreductase activity; binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; monooxygenase activity. It is involved in the biological process described with: response to caffeine; insecticide metabolic process; lauric acid metabolic process. 11 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of extremely low expression.  Peak expression observed within 18-24 hour embryonic stages, during early larval stages.  		0.0	60	29	17	3	17	9	7	40	12	22	7	27	11	45	57
N0.HOG0000014	rna-NM_143306.3	FBgn0039519	The gene Cytochrome P450 6a18 is referred to in FlyBase by the symbol Dmel\Cyp6a18 (CG13977, FBgn0039519). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3R:27478675..27482904. Its molecular function is described by: iron ion binding; heme binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; monooxygenase activity. The biological processes in which it is involved are not known. 5 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of no expression detected.  Peak expression observed at stages throughout the larval period, during late pupal stages, in adult male stages.  		0.0	60	29	17	3	17	9	7	40	12	22	7	27	11	45	57
