Orthogroup_ID	transcript_ID_native	Flybase
N0.HOG0000009	rna-NM_079732.1	FLYBASE:FBtr0084342,GeneID:42712,GenBank:NM_079732.1,FLYBASE:FBgn0039034
N0.HOG0000009	rna-NM_079731.1	FLYBASE:FBtr0084341,GeneID:42711,GenBank:NM_079731.1,FLYBASE:FBgn0039033
N0.HOG0000009	rna-NM_079354.4	FLYBASE:FBtr0075659,GeneID:39641,GenBank:NM_079354.4,FLYBASE:FBgn0036474
N0.HOG0000011	rna-NM_139889.2	FLYBASE:FBtr0076821,GeneID:38859,GenBank:NM_139889.2,FLYBASE:FBgn0035807
N0.HOG0000013	rna-NM_143799.3	FLYBASE:FBtr0080149,GeneID:47730,GenBank:NM_143799.3,FLYBASE:FBgn0026148
N0.HOG0000015	rna-NM_133101.4	FLYBASE:FBtr0074639,GeneID:32875,GenBank:NM_133101.4,FLYBASE:FBgn0030963
N0.HOG0000018	rna-NM_001299502.1	FLYBASE:FBtr0339983,GeneID:49847,GenBank:NM_001299502.1,FLYBASE:FBgn0013773
N0.HOG0000018	rna-NM_079025.5	FLYBASE:FBtr0087455,GeneID:36666,GenBank:NM_079025.5,FLYBASE:FBgn0013772
N0.HOG0000018	rna-NM_001300633.1	None
N0.HOG0000018	rna-NM_078904.2	FLYBASE:FBtr0086133,GeneID:35587,GenBank:NM_078904.2,FLYBASE:FBgn0000473
N0.HOG0000018	rna-NM_137159.4	FLYBASE:FBtr0087456,GeneID:36665,GenBank:NM_137159.4,FLYBASE:FBgn0288232
N0.HOG0000018	rna-NM_137156.3	FLYBASE:FBtr0087452,GeneID:36661,GenBank:NM_137156.3,FLYBASE:FBgn0033978
N0.HOG0000018	rna-NM_001299504.1	None
N0.HOG0000018	rna-NM_137157.4	FLYBASE:FBtr0087453,GeneID:36662,GenBank:NM_137157.4,FLYBASE:FBgn0033979
N0.HOG0000018	rna-NM_136546.3	FLYBASE:FBtr0088690,GeneID:35837,GenBank:NM_136546.3,FLYBASE:FBgn0033304
