Orthogroup_ID	CAFE_p-value	GF_Cluster	Cluster_function	repeat_correlation_slope	repeat_correlation_p-value	GS_correlation_slope	GS_correlation_p-value	Gene_Name	D_melanogaster	I_luminosus	P_pyralis	C_septempunctata	A_verrucosus	T_castaneum	Z_morio	T_molitor	D_ponderosae	R_ferrugineus	A_obtectus	B_siliquastri	C_chinensis	C_maculatus	max_delta_GF	transcript_ID_native	Flybase	Flybase_summary
N0.HOG0000027	0.0	Gene Group 1	Cytochrome P450	-0.018365222020187505	0.4192744203733927	-0.00041875593896195136	0.7328297024622428	Cytochrome P450 6u1(Cyp6u1)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_001299221.1	FBgn0033121	The gene Cytochrome P450 6u1 is referred to in FlyBase by the symbol Dmel\Cyp6u1 (CG3567, FBgn0033121). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (1 unique). Gene sequence location is 2R:6971996..6975026. Its molecular function is described by: heme binding; iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen. The biological processes in which it is involved are not known. 4 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of moderate expression.  Peak expression observed within 00-06 and 18-24 hour embryonic stages, during early larval stages, during late pupal stages, in adult female stages.
N0.HOG0000030	0.0	Gene Group 20	transmembrane transport (olfactory)	0.007659023016888575	0.621168922898323	-0.0004359219964286205	0.5975844133679928	uncharacterized protein(CG11898)	3	11	22	11	17	26	33	23	12	16	10	10	7	10	30	rna-NM_143422.3	FBgn0039645	This gene is referred to in FlyBase by the symbol Dmel\CG11898 (FBgn0039645). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:29165643..29171508. Its molecular function is described by: ATPase-coupled transmembrane transporter activity; ABC-type transporter activity; ATP binding; ATP hydrolysis activity. It is involved in the biological process described with: transmembrane transport. 11 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages, during late larval stages, in stages of adults of both sexes.
N0.HOG0000033	0.0	None	None	0.09075100244296891	0.016251933273931863	0.005448239059628566	0.004719043744551503	None	1	39	64	33	8	1	14	1	1	2	53	14	18	53	63	rna-NM_139889.2	FBgn0035807	This gene is referred to in FlyBase by the symbol Dmel\CG7492 (FBgn0035807). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:7651866..7654752. Its molecular function is unknown. The biological processes in which it is involved are not known. 6 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of moderate expression.  Peak expression observed within 00-18 hour embryonic stages, during late larval stages, at stages throughout the pupal period, in stages of adults of both sexes.
N0.HOG0000037	0.0	Gene Group 30	pheromone sensing	0.018954363128001576	0.5647795357634722	-0.0007252170767518878	0.6805887762754379	Odorant receptor 43a(Or43a)	3	1	1	3	48	22	39	21	1	5	10	6	6	8	47	rna-NM_078923.3	FBgn0026389	The gene Odorant receptor 43a is referred to in FlyBase by the symbol Dmel\Or43a (CG1854, FBgn0026389). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:7232840..7234913. Its molecular function is described by: olfactory receptor activity; odorant binding; ionotropic olfactory receptor activity. It is involved in the biological process described with: sensory perception of smell; detection of chemical stimulus involved in sensory perception of smell. 18 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; abnormal neurophysiology; partially lethal. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very low expression to a trough of no expression detected.  Peak expression observed in adult male stages.
N0.HOG0000038	0.0	Gene Group 30	pheromone sensing	-0.04315860640719451	0.10382866086766991	-0.0015770343318609423	0.2800913076092912	Odorant receptor 94a(Or94a)	3	33	11	1	5	7	13	7	5	1	1	4	2	1	32	rna-NM_079731.1	FBgn0039033	The gene Odorant receptor 94a is referred to in FlyBase by the symbol Dmel\Or94a (CG17241, FBgn0039033). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:22987281..22988503. Its molecular function is described by: olfactory receptor activity; odorant binding; ionotropic olfactory receptor activity. It is involved in the biological process described with: detection of chemical stimulus involved in sensory perception of smell; sensory perception of smell. 5 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: abnormal smell perception; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very low expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages, during late larval stages, during late pupal stages, in adult male stages.
N0.HOG0000039	0.012	Gene Group 24	Cuticular protein	-0.008371522509272944	0.5256060448763347	2.2186711300045496e-05	0.9750533248078426	Cuticular protein 30B(Cpr30B)	3	8	1	5	3	3	4	6	6	5	4	3	2	3	7	rna-NM_135451.3	FBgn0032125	The gene Cuticular protein 30B is referred to in FlyBase by the symbol Dmel\Cpr30B (CG3818, FBgn0032125). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:9542878..9543658. Its molecular function is described by: structural constituent of chitin-based larval cuticle. It is involved in the biological process described with: chitin-based cuticle development. 6 alleles are reported. The phenotype of these alleles manifest in: mesonotum. The phenotypic classes of alleles include: abnormal body color; viable; visible; partially lethal. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of extremely high expression to a trough of no expression detected.  Peak expression observed during late pupal stages.
N0.HOG0000044	0.049	Gene Group 24	Cuticular protein	0.003493394546019831	0.7334839664404798	0.0005268795060138734	0.3266444339703356	Cuticular protein 76Ba(Cpr76Ba)	2	1	2	1	2	1	1	2	1	1	2	1	1	3	2	rna-NM_140863.2	FBgn0036878	The gene Cuticular protein 76Ba is referred to in FlyBase by the symbol Dmel\Cpr76Ba (CG9283, FBgn0036878). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:19517552..19518332. Its molecular function is described by: structural constituent of chitin-based larval cuticle. It is involved in the biological process described with: chitin-based cuticle development. 2 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: some die during pupal stage; partially lethal; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages.
N0.HOG0000045	0.0	Gene Group 34	uncharacterized	0.018594188616575427	0.27365743078509863	0.0009479232125671005	0.29643385060458743	Pinkman(pkm)	2	37	22	17	28	19	29	11	14	12	14	16	15	18	35	rna-NM_206689.2	FBgn0030317	The gene Pinkman is referred to in FlyBase by the symbol Dmel\pkm (CG1561, FBgn0030317). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is X:11581957..11584175. Its molecular function is described by: ecdysteroid 22-kinase activity. The biological processes in which it is involved are not known. 10 alleles are reported. The phenotypes of these alleles manifest in: presynaptic active zone; embryonic/larval neuromuscular junction. The phenotypic classes of alleles include: partially lethal - majority die; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of extremely low expression.  Peak expression observed during late pupal stages, in stages of adults of both sexes.
N0.HOG0000049	0.0	None	None	0.05726697269403709	0.057071212960369336	0.002807390911562578	0.08432797560602733	cag (from API summary)	1	45	18	24	22	7	15	11	2	1	62	9	9	18	61	rna-NM_057859.4	FBgn0017414	The gene cag is referred to in FlyBase by the symbol Dmel\cag (CG12346, FBgn0017414). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 2R:10893034..10894414. Its molecular function is described by: DNA binding. The biological processes in which it is involved are not known. 10 alleles are reported. The phenotypes of these alleles manifest in: trichogen cell; sarcomere; Z disc; mesonotum. The phenotypic classes of alleles include: partially lethal - majority die; viable; visible; lethal - all die during larval stage; some die during pupal stage. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of low expression.  Peak expression observed within 00-18 hour embryonic stages, during late larval stages, at stages throughout the pupal period.
N0.HOG0000056	0.0	Gene Group 7	odorant binding	-0.013676034344836788	0.5561645381230331	-0.0009936908068618022	0.41950325817784395	Odorant-binding protein 56e(Obp56e)	3	11	4	4	46	19	33	44	7	24	7	9	6	6	43	rna-NM_137601.4	FBgn0034471	The gene Odorant-binding protein 56e is referred to in FlyBase by the symbol Dmel\Obp56e (CG8462, FBgn0034471). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is 2R:19712345..19712932. Its molecular function is described by: odorant binding. It is involved in the biological process described with: sexual reproduction; sensory perception of chemical stimulus; sensory perception of smell. 5 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: abnormal behavior; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of no expression detected.  Peak expression observed in adult male stages.
N0.HOG0000059	0.0	Gene Group 1	Cytochrome P450	-0.009549984545952605	0.7104528557488837	0.00012070600546569764	0.9300782078454233	Cytochrome P450 9f3(Cyp9f3)	6	57	32	7	10	20	3	26	9	10	7	1	7	6	56	rna-NM_001363930.1	FBgn0038034	The gene Cytochrome P450 9f3 is referred to in FlyBase by the symbol Dmel\Cyp9f3 (CG17875, FBgn0038034). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:12396007..12398929. Its molecular function is described by: iron ion binding. The biological processes in which it is involved are not known. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of very low expression.  Peak expression observed within 18-24 hour embryonic stages, during late larval stages, at stages throughout the pupal period, in adult male stages.
N0.HOG0000067	0.0	Gene Group 24,Gene Group 26	Cuticular protein,glycolysis and early development (and other)	0.02207172677434959	0.2032007748662305	6.141703914718599e-05	0.9488713218090459	Cuticular protein 30F(Cpr30F)	1	1	1	11	3	3	5	3	3	6	2	2	4	4	10	rna-NM_164879.3	FBgn0051876	The gene Cuticular protein 30F is referred to in FlyBase by the symbol Dmel\Cpr30F (CG31876, FBgn0051876). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:9932272..9933163. Its molecular function is described by: structural constituent of chitin-based larval cuticle. It is involved in the biological process described with: chitin-based cuticle development. 4 alleles are reported. The phenotypes of these alleles manifest in: larval neuroblast; ganglion mother cell; mesonotum; trichogen cell. The phenotypic classes of alleles include: lethal; some die during P-stage; increased mortality during development; phenotype. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of extremely high expression to a trough of no expression detected.  Peak expression observed during late pupal stages.
N0.HOG0000068	0.0	None	None	0.08783287337908365	0.004557854069879695	0.00479180981112607	0.0033515867441668568	None	1	43	39	21	1	4	4	2	1	2	16	4	5	48	47	rna-NM_168749.2	FBgn0052187	This gene is referred to in FlyBase by the symbol Dmel\CG32187 (FBgn0052187). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:17804916..17806365. Its molecular function is unknown. The biological processes in which it is involved are not known. 3 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: some die during pupal stage; partially lethal - majority die; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of extremely low expression.  Peak expression observed within 06-18 hour embryonic stages, during early pupal stages.
N0.HOG0000069	0.0	None	None	0.05628580507327469	0.06843469605374565	0.0034386782183359953	0.032114037725000155	None	1	19	48	8	11	2	18	2	2	1	39	7	6	19	47	rna-NM_143799.3	FBgn0026148	This gene is referred to in FlyBase by the symbol Dmel\CG12253 (FBgn0026148). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:10987806..10989241. Its molecular function is unknown. The biological processes in which it is involved are not known. 6 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of very low expression.  Peak expression observed within 00-06 hour embryonic stages.
N0.HOG0000071	0.0	None	None	0.02521972337103251	0.3194913961718845	0.0019898972759509427	0.12988982173705113	None	1	7	3	1	11	2	13	2	1	1	7	2	16	4	15	rna-NM_001299601.1	FBgn0028953	This gene is referred to in FlyBase by the symbol Dmel\CG14478 (FBgn0028953). It is a protein_coding_gene from Dmel. It has 4 annotated transcripts and 4 polypeptides (1 unique). Gene sequence location is 2R:17457663..17465795. Its molecular function is described by: nucleic acid binding. The biological processes in which it is involved are not known. 19 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: abnormal behavior; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of moderate expression.  Peak expression observed within 00-12 hour embryonic stages.
N0.HOG0000072	0.0	None	None	0.06302298894844843	0.0552856608500781	0.004488321118292356	0.005526649175185725	None	1	21	1	10	8	1	5	1	1	1	39	1	15	11	38	rna-NM_141770.3	FBgn0037844	This gene is referred to in FlyBase by the symbol Dmel\CG4570 (FBgn0037844). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:10856807..10858066. Its molecular function is described by: nucleic acid binding. The biological processes in which it is involved are not known. 10 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of very low expression.  Peak expression observed within 00-06 hour embryonic stages.
N0.HOG0000073	0.0	None	None	0.019786683440736526	0.339146191819061	0.0014576762252763312	0.1782308724708684	None	1	21	10	5	14	16	4	15	16	18	15	15	13	18	20	rna-NM_140661.3	FBgn0036659	This gene is referred to in FlyBase by the symbol Dmel\CG9701 (FBgn0036659). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:16733546..16739364. Its molecular function is described by: hydrolase activity, hydrolyzing O-glycosyl compounds; beta-glucosidase activity. It is involved in the biological process described with: carbohydrate metabolic process. 5 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of extremely low expression.  Peak expression observed at stages throughout the pupal period.
N0.HOG0000078	0.0	Gene Group 26	glycolysis and early development (and other)	-0.021321694048665595	0.280923757454226	-0.0021469332151632034	0.0279251506282578	uncharacterized protein(CG8757)	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_140407.2	FBgn0036380	This gene is referred to in FlyBase by the symbol Dmel\CG8757 (FBgn0036380). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:13840197..13842240. Its molecular function is described by: 3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity; oxidoreductase activity; 17-beta-hydroxysteroid dehydrogenase (NADP+) activity; estradiol 17-beta-dehydrogenase [NAD(P)+] activity. The biological processes in which it is involved are not known. 3 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of no expression detected.  Peak expression observed during late pupal stages.
