Orthogroup_ID	GF_ClustertGene_Group	Cluster_function	repeat_correlation_correlation_coeff	repeat_correlation_p-value	repeat_correlation_sig_after_multiple_testing	GS_correlation_correlation_coeff	GS_correlation_p-value	GS_correlation_sig_after_multiple_testing	Gene_Name	D_melanogaster	I_luminosus	P_pyralis	C_septempunctata	A_verrucosus	T_castaneum	Z_morio	T_molitor	D_ponderosae	R_ferrugineus	A_obtectus	B_siliquastri	C_chinensis	C_maculatus	max_delta_GF	transcript_ID_native	Flybase	Flybase_summary
N0.HOG0000027	Gene Group 1	Cytochrome P450	-0.18181818181818185	0.5717012385276553	n	0.013986013986013986	0.9655902689187795	n	Cytochrome P450 6u1(Cyp6u1)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_001299221.1	FBgn0033121	None
N0.HOG0000027	Gene Group 1	Cytochrome P450	-0.18181818181818185	0.5717012385276553	n	0.013986013986013986	0.9655902689187795	n	Cytochrome P450 317a1(Cyp317a1)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_001299506.1	FBgn0033982	None
N0.HOG0000027	Gene Group 1	Cytochrome P450	-0.18181818181818185	0.5717012385276553	n	0.013986013986013986	0.9655902689187795	n	Cytochrome P450 6a22(Cyp6a22)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_001299502.1	FBgn0013773	None
N0.HOG0000027	Gene Group 1	Cytochrome P450	-0.18181818181818185	0.5717012385276553	n	0.013986013986013986	0.9655902689187795	n	Cytochrome P450 6a23(Cyp6a23)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_137156.3	FBgn0033978	None
N0.HOG0000027	Gene Group 1	Cytochrome P450	-0.18181818181818185	0.5717012385276553	n	0.013986013986013986	0.9655902689187795	n	Cytochrome P450 6a17(Cyp6a17)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_001299504.1	FBgn0015714	None
N0.HOG0000027	Gene Group 1	Cytochrome P450	-0.18181818181818185	0.5717012385276553	n	0.013986013986013986	0.9655902689187795	n	Cytochrome P450 6a19(Cyp6a19)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_137157.4	FBgn0033979	None
N0.HOG0000027	Gene Group 1	Cytochrome P450	-0.18181818181818185	0.5717012385276553	n	0.013986013986013986	0.9655902689187795	n	Cytochrome P450 6a8(Cyp6a8)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_079025.5	FBgn0013772	None
N0.HOG0000027	Gene Group 1	Cytochrome P450	-0.18181818181818185	0.5717012385276553	n	0.013986013986013986	0.9655902689187795	n	Cytochrome P450 6a18(Cyp6a18)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_001300633.1	FBgn0039519	None
N0.HOG0000027	Gene Group 1	Cytochrome P450	-0.18181818181818185	0.5717012385276553	n	0.013986013986013986	0.9655902689187795	n	Cytochrome P450 6a21(Cyp6a21)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_137159.4	FBgn0288232	None
N0.HOG0000027	None	None	-0.18181818181818185	0.5717012385276553	n	0.013986013986013986	0.9655902689187795	n	None	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_078904.2	FBgn0000473	None
