Orthogroup_ID	GF_ClustertGene_Group	Cluster_function	Gene_Name	D_melanogaster	I_luminosus	P_pyralis	C_septempunctata	A_verrucosus	T_castaneum	Z_morio	T_molitor	D_ponderosae	R_ferrugineus	A_obtectus	B_siliquastri	C_chinensis	C_maculatus	max_delta_GF	transcript_ID_native	Flybase	Flybase_summary
N0.HOG0000027	Gene Group 1	Cytochrome P450	Cytochrome P450 6u1(Cyp6u1)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_001299221.1	FBgn0033121	None
N0.HOG0000027	Gene Group 1	Cytochrome P450	Cytochrome P450 317a1(Cyp317a1)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_001299506.1	FBgn0033982	None
N0.HOG0000027	Gene Group 1	Cytochrome P450	Cytochrome P450 6a22(Cyp6a22)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_001299502.1	FBgn0013773	None
N0.HOG0000027	Gene Group 1	Cytochrome P450	Cytochrome P450 6a23(Cyp6a23)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_137156.3	FBgn0033978	None
N0.HOG0000027	Gene Group 1	Cytochrome P450	Cytochrome P450 6a17(Cyp6a17)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_001299504.1	FBgn0015714	None
N0.HOG0000027	Gene Group 1	Cytochrome P450	Cytochrome P450 6a19(Cyp6a19)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_137157.4	FBgn0033979	None
N0.HOG0000027	Gene Group 1	Cytochrome P450	Cytochrome P450 6a8(Cyp6a8)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_079025.5	FBgn0013772	None
N0.HOG0000027	Gene Group 1	Cytochrome P450	Cytochrome P450 6a18(Cyp6a18)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_001300633.1	FBgn0039519	None
N0.HOG0000027	Gene Group 1	Cytochrome P450	Cytochrome P450 6a21(Cyp6a21)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_137159.4	FBgn0288232	None
N0.HOG0000027	None	None	None	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_078904.2	FBgn0000473	None
N0.HOG0000027	Gene Group 1	Cytochrome P450	Cytochrome P450 6a13(Cyp6a13)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_136546.3	FBgn0033304	None
N0.HOG0000030	Gene Group 20	transmembrane transport (olfactory)	uncharacterized protein(CG11898)	3	11	22	11	17	26	33	23	12	16	10	10	7	10	30	rna-NM_143422.3	FBgn0039645	None
N0.HOG0000030	Gene Group 20	transmembrane transport (olfactory)	uncharacterized protein(CG10505)	3	11	22	11	17	26	33	23	12	16	10	10	7	10	30	rna-NM_137727.3	FBgn0034612	None
N0.HOG0000030	Gene Group 20	transmembrane transport (olfactory)	red dog mine(rdog)	3	11	22	11	17	26	33	23	12	16	10	10	7	10	30	rna-NM_143421.3	FBgn0039644	None
N0.HOG0000033	None	None	None	1	39	64	33	8	1	14	1	1	2	53	14	18	53	63	rna-NM_139889.2	FBgn0035807	None
N0.HOG0000037	Gene Group 30	pheromone sensing	Odorant receptor 43a(Or43a)	3	1	1	3	48	22	39	21	1	5	10	6	6	8	47	rna-NM_078923.3	FBgn0026389	None
N0.HOG0000037	Gene Group 30	pheromone sensing	Odorant receptor 30a(Or30a)	3	1	1	3	48	22	39	21	1	5	10	6	6	8	47	rna-NM_078796.3	FBgn0032096	None
N0.HOG0000037	Gene Group 30	pheromone sensing	Odorant receptor 49b(Or49b)	3	1	1	3	48	22	39	21	1	5	10	6	6	8	47	rna-NM_078997.3	FBgn0028963	None
N0.HOG0000038	Gene Group 30	pheromone sensing	Odorant receptor 94a(Or94a)	3	33	11	1	5	7	13	7	5	1	1	4	2	1	32	rna-NM_079731.1	FBgn0039033	None
N0.HOG0000038	Gene Group 30	pheromone sensing	Odorant receptor 94b(Or94b)	3	33	11	1	5	7	13	7	5	1	1	4	2	1	32	rna-NM_079732.1	FBgn0039034	None
N0.HOG0000038	Gene Group 30	pheromone sensing	Odorant receptor 46a(Or46a)	3	33	11	1	5	7	13	7	5	1	1	4	2	1	32	rna-NM_206071.2	FBgn0026388	None
N0.HOG0000039	Gene Group 24	Cuticular protein	Cuticular protein 30B(Cpr30B)	3	8	1	5	3	3	4	6	6	5	4	3	2	3	7	rna-NM_135451.3	FBgn0032125	None
N0.HOG0000039	Gene Group 24	Cuticular protein	Cuticular protein 64Ad(Cpr64Ad)	3	8	1	5	3	3	4	6	6	5	4	3	2	3	7	rna-NM_139618.4	FBgn0035513	None
N0.HOG0000039	Gene Group 24	Cuticular protein	Ecdysone-dependent gene 84A(Edg84A)	3	8	1	5	3	3	4	6	6	5	4	3	2	3	7	rna-NM_079523.3	FBgn0000552	None
N0.HOG0000044	Gene Group 24	Cuticular protein	Cuticular protein 76Ba(Cpr76Ba)	2	1	2	1	2	1	1	2	1	1	2	1	1	3	2	rna-NM_140863.2	FBgn0036878	None
